Plate	Position	Well	Row	Column	Target	Group_Target	siRNA_target_A	siRNA_target_B
Plate_2	B,7	2,7	2	7	CNOT8	CNOT7_CNOT8	NA	2
Plate_2	B,8	2,8	2	8	CNOT8	CNOT7_CNOT8	NA	3
Plate_2	B,9	2,9	2	9	CNOT8	CNOT7_CNOT8	NA	4
Plate_2	B,10	2,10	2	10	Control_1	Control	1	NA
Plate_2	B,11	2,11	2	11	Control_2	Control	NA	1
Plate_2	C,2	3,2	3	2	CNOT7|CNOT8	CNOT7_CNOT8	1	4
Plate_2	C,3	3,3	3	3	CNOT7|CNOT8	CNOT7_CNOT8	1	3
Plate_2	C,4	3,4	3	4	CNOT7|CNOT8	CNOT7_CNOT8	2	2
Plate_2	C,5	3,5	3	5	CNOT7|CNOT8	CNOT7_CNOT8	2	1
Plate_2	C,6	3,6	3	6	CNOT7|CNOT8	CNOT7_CNOT8	3	4
Plate_2	C,7	3,7	3	7	CNOT7|CNOT8	CNOT7_CNOT8	3	3
Plate_2	C,8	3,8	3	8	CNOT7|CNOT8	CNOT7_CNOT8	4	2
Plate_2	C,9	3,9	3	9	CNOT7|CNOT8	CNOT7_CNOT8	4	1
Plate_2	C,10	3,10	3	10	Control_1	Control	1	NA
Plate_2	C,11	3,11	3	11	Control_2	Control	NA	1
Plate_2	D,2	4,2	4	2	GDI1	GDI1_GDI2	1	NA
Plate_2	D,3	4,3	4	3	GDI1	GDI1_GDI2	2	NA
Plate_2	D,4	4,4	4	4	GDI1	GDI1_GDI2	3	NA
Plate_2	D,5	4,5	4	5	GDI1	GDI1_GDI2	4	NA
Plate_2	D,6	4,6	4	6	GDI2	GDI1_GDI2	NA	1
Plate_2	D,7	4,7	4	7	GDI2	GDI1_GDI2	NA	2
Plate_2	D,8	4,8	4	8	GDI2	GDI1_GDI2	NA	3
Plate_2	D,9	4,9	4	9	GDI2	GDI1_GDI2	NA	4
Plate_2	D,10	4,10	4	10	Control_1	Control	1	NA
Plate_2	D,11	4,11	4	11	Control_2	Control	NA	1
Plate_2	E,2	5,2	5	2	GDI1|GDI2	GDI1_GDI2	1	4
Plate_2	E,3	5,3	5	3	GDI1|GDI2	GDI1_GDI2	1	3
Plate_2	E,4	5,4	5	4	GDI1|GDI2	GDI1_GDI2	2	2
Plate_2	E,5	5,5	5	5	GDI1|GDI2	GDI1_GDI2	2	1
Plate_2	E,6	5,6	5	6	GDI1|GDI2	GDI1_GDI2	3	4
Plate_2	E,7	5,7	5	7	GDI1|GDI2	GDI1_GDI2	3	3
Plate_2	E,8	5,8	5	8	GDI1|GDI2	GDI1_GDI2	4	2
Plate_2	E,9	5,9	5	9	GDI1|GDI2	GDI1_GDI2	4	1
Plate_2	E,10	5,10	5	10	Control_1	Control	1	NA
Plate_2	E,11	5,11	5	11	Control_2	Control	NA	1
Plate_2	F,2	6,2	6	2	PDS5A	PDS5A_PDS5B	1	NA
Plate_2	F,3	6,3	6	3	PDS5A	PDS5A_PDS5B	2	NA
Plate_2	F,4	6,4	6	4	PDS5A	PDS5A_PDS5B	3	NA
Plate_2	F,5	6,5	6	5	PDS5A	PDS5A_PDS5B	4	NA
Plate_2	F,6	6,6	6	6	PDS5B	PDS5A_PDS5B	NA	1
Plate_2	F,7	6,7	6	7	PDS5B	PDS5A_PDS5B	NA	2
Plate_2	F,8	6,8	6	8	PDS5B	PDS5A_PDS5B	NA	3
Plate_2	F,9	6,9	6	9	PDS5B	PDS5A_PDS5B	NA	4
Plate_2	F,10	6,10	6	10	Control_1|Control_2	Control	1	1
Plate_2	F,11	6,11	6	11	Control_1|Control_2	Control	1	1
Plate_2	G,2	7,2	7	2	PDS5A|PDS5B	PDS5A_PDS5B	1	4
Plate_2	G,3	7,3	7	3	PDS5A|PDS5B	PDS5A_PDS5B	1	3
Plate_2	G,4	7,4	7	4	PDS5A|PDS5B	PDS5A_PDS5B	2	2
Plate_2	G,5	7,5	7	5	PDS5A|PDS5B	PDS5A_PDS5B	2	1
Plate_2	G,6	7,6	7	6	PDS5A|PDS5B	PDS5A_PDS5B	3	4
Plate_2	G,7	7,7	7	7	PDS5A|PDS5B	PDS5A_PDS5B	3	3
Plate_2	G,8	7,8	7	8	PDS5A|PDS5B	PDS5A_PDS5B	4	2
Plate_2	G,9	7,9	7	9	PDS5A|PDS5B	PDS5A_PDS5B	4	1
Plate_2	G,10	7,10	7	10	Control_1|Control_2	Control	1	1
Plate_2	G,11	7,11	7	11	Control_1|Control_2	Control	1	1
Plate_3	B,2	2,2	2	2	SAR1A	SAR1A_SAR1B	1	NA
Plate_3	B,3	2,3	2	3	SAR1A	SAR1A_SAR1B	2	NA
Plate_3	B,4	2,4	2	4	SAR1A	SAR1A_SAR1B	3	NA
Plate_3	B,5	2,5	2	5	SAR1A	SAR1A_SAR1B	4	NA
Plate_3	B,6	2,6	2	6	SAR1B	SAR1A_SAR1B	NA	1
Plate_3	B,7	2,7	2	7	SAR1B	SAR1A_SAR1B	NA	2
Plate_3	B,8	2,8	2	8	SAR1B	SAR1A_SAR1B	NA	3
Plate_3	B,9	2,9	2	9	SAR1B	SAR1A_SAR1B	NA	4
Plate_3	B,10	2,10	2	10	Control_1	Control	1	NA
Plate_3	B,11	2,11	2	11	Control_2	Control	NA	1
Plate_3	C,2	3,2	3	2	SAR1A|SAR1B	SAR1A_SAR1B	1	4
Plate_3	C,3	3,3	3	3	SAR1A|SAR1B	SAR1A_SAR1B	1	3
Plate_3	C,4	3,4	3	4	SAR1A|SAR1B	SAR1A_SAR1B	2	2
Plate_3	C,5	3,5	3	5	SAR1A|SAR1B	SAR1A_SAR1B	2	1
Plate_3	C,6	3,6	3	6	SAR1A|SAR1B	SAR1A_SAR1B	3	4
Plate_3	C,7	3,7	3	7	SAR1A|SAR1B	SAR1A_SAR1B	3	3
Plate_3	C,8	3,8	3	8	SAR1A|SAR1B	SAR1A_SAR1B	4	2
Plate_3	C,9	3,9	3	9	SAR1A|SAR1B	SAR1A_SAR1B	4	1
Plate_3	C,10	3,10	3	10	Control_1	Control	1	NA
Plate_3	C,11	3,11	3	11	Control_2	Control	NA	1
Plate_3	D,2	4,2	4	2	SEC23A	SEC23A_SEC23B	1	NA
Plate_3	D,3	4,3	4	3	SEC23A	SEC23A_SEC23B	2	NA
Plate_3	D,4	4,4	4	4	SEC23A	SEC23A_SEC23B	3	NA
Plate_3	D,5	4,5	4	5	SEC23A	SEC23A_SEC23B	4	NA
Plate_3	D,6	4,6	4	6	SEC23B	SEC23A_SEC23B	NA	1
Plate_3	D,7	4,7	4	7	SEC23B	SEC23A_SEC23B	NA	2
Plate_3	D,8	4,8	4	8	SEC23B	SEC23A_SEC23B	NA	3
Plate_3	D,9	4,9	4	9	SEC23B	SEC23A_SEC23B	NA	4
Plate_3	D,10	4,10	4	10	Control_1	Control	1	NA
Plate_3	D,11	4,11	4	11	Control_2	Control	NA	1
Plate_3	E,2	5,2	5	2	SEC23A|SEC23B	SEC23A_SEC23B	1	4
Plate_3	E,3	5,3	5	3	SEC23A|SEC23B	SEC23A_SEC23B	1	3
Plate_3	E,4	5,4	5	4	SEC23A|SEC23B	SEC23A_SEC23B	2	2
Plate_3	E,5	5,5	5	5	SEC23A|SEC23B	SEC23A_SEC23B	2	1
Plate_3	E,6	5,6	5	6	SEC23A|SEC23B	SEC23A_SEC23B	3	4
Plate_3	E,7	5,7	5	7	SEC23A|SEC23B	SEC23A_SEC23B	3	3
Plate_3	E,8	5,8	5	8	SEC23A|SEC23B	SEC23A_SEC23B	4	2
Plate_3	E,9	5,9	5	9	SEC23A|SEC23B	SEC23A_SEC23B	4	1
Plate_3	E,10	5,10	5	10	Control_1	Control	1	NA
Plate_3	E,11	5,11	5	11	Control_2	Control	NA	1
Plate_3	F,2	6,2	6	2	EAF1	EAF1_EAF2	1	NA
Plate_3	F,3	6,3	6	3	EAF1	EAF1_EAF2	2	NA
Plate_3	F,4	6,4	6	4	EAF1	EAF1_EAF2	3	NA
Plate_3	F,5	6,5	6	5	EAF1	EAF1_EAF2	4	NA
Plate_3	F,6	6,6	6	6	EAF2	EAF1_EAF2	NA	1
Plate_3	F,7	6,7	6	7	EAF2	EAF1_EAF2	NA	2
Plate_3	F,8	6,8	6	8	EAF2	EAF1_EAF2	NA	3
Plate_3	F,9	6,9	6	9	EAF2	EAF1_EAF2	NA	4
Plate_3	F,10	6,10	6	10	Control_1|Control_2	Control	1	1
Plate_3	F,11	6,11	6	11	Control_1|Control_2	Control	1	1
Plate_3	G,2	7,2	7	2	EAF1|EAF2	EAF1_EAF2	1	4
Plate_3	G,3	7,3	7	3	EAF1|EAF2	EAF1_EAF2	1	3
Plate_3	G,4	7,4	7	4	EAF1|EAF2	EAF1_EAF2	2	2
Plate_3	G,5	7,5	7	5	EAF1|EAF2	EAF1_EAF2	2	1
Plate_3	G,6	7,6	7	6	EAF1|EAF2	EAF1_EAF2	3	4
Plate_3	G,7	7,7	7	7	EAF1|EAF2	EAF1_EAF2	3	3
Plate_3	G,8	7,8	7	8	EAF1|EAF2	EAF1_EAF2	4	2
Plate_3	G,9	7,9	7	9	EAF1|EAF2	EAF1_EAF2	4	1
